,UnitPriceMean,UnitPriceStd,TotalQuantity,NoOfUniqueItems,NoOfInvoices,UniqueItemsPerInvoice,QuantityPerInvoice,SpendingPerInvoice
43,5.063157894736843,2.8557856530045167,136.0,17.0,2.0,9.5,68.0,188.8
44,2.987692307692307,1.9474691005086315,551.0,11.0,4.0,3.25,137.75,255.8625
45,3.0087096774193554,2.2752036420732162,146.0,31.0,1.0,31.0,146.0,254.99999999999997
46,8.350200892857142,79.81738603651823,10928.0,596.0,38.0,23.57894736842105,287.57894736842104,652.3889473684209
47,1.824918032786885,0.7552849858404876,638.0,52.0,2.0,30.0,319.0,618.2449999999999
48,2.8055737704918036,2.506606952695326,192.0,51.0,3.0,19.666666666666668,64.0,112.65333333333332
49,3.021277199621558,3.7175366018582636,3100.0,467.0,31.0,33.74193548387097,100.0,222.37741935483862
50,1.8736842105263163,1.4993450811986613,419.0,18.0,2.0,9.0,209.5,345.365
51,2.173397129186601,1.7854094661232445,2716.0,113.0,9.0,23.22222222222222,301.77777777777777,470.80555555555554
52,4.422148148148147,3.282162871067904,863.0,106.0,14.0,9.642857142857142,61.642857142857146,164.2942857142857
53,2.6244444444444444,2.4829927059453434,165.0,9.0,1.0,9.0,165.0,172.54
54,1.25,0.0,264.0,7.0,3.0,5.0,88.0,110.0
55,3.0488235294117647,2.7691381053862805,431.0,34.0,2.0,17.0,215.5,294.125
56,3.3366666666666673,2.5723641793619283,355.0,29.0,2.0,15.0,177.5,373.625
57,1.972,2.2343723951033767,139.0,5.0,2.0,2.5,69.5,80.485
58,2.2608333333333337,1.7121987613573302,4844.0,30.0,17.0,4.9411764705882355,284.94117647058823,548.4441176470588
59,5.4645569620253145,13.900467045969089,585.0,74.0,6.0,13.166666666666666,97.5,277.55
60,3.90939393939394,11.217215825293374,419.0,31.0,2.0,16.5,209.5,302.85
61,4.311875000000001,2.9620808423584033,124.0,12.0,4.0,4.0,31.0,85.67000000000002
62,6.8,4.190568227456214,322.0,21.0,5.0,6.0,64.4,346.86
63,3.0961538461538467,1.8721604139027763,232.0,22.0,2.0,13.0,116.0,291.6
64,3.1335076923076834,3.520333572795315,2541.0,495.0,34.0,28.5,74.73529411764706,151.86735294117648
65,5.34,2.5885324027332555,19.0,5.0,1.0,5.0,19.0,81.75
66,2.49925,1.6446048352423637,843.0,31.0,5.0,8.0,168.6,403.456
67,4.050000000000001,3.4788438518356277,559.0,16.0,6.0,3.8333333333333335,93.16666666666667,391.9166666666667
68,5.507931034482757,3.1373218552844273,401.0,22.0,5.0,5.8,80.2,365.976
69,1.8026315789473684,1.153433724461508,410.0,13.0,2.0,9.5,205.0,247.64999999999998
70,1.9386407766990275,1.3440829285104086,435.0,103.0,2.0,51.5,217.5,319.45000000000016
71,5.587692307692308,3.37085091593145,110.0,12.0,2.0,6.5,55.0,148.11
72,2.991052631578948,1.9924995322370624,980.0,17.0,2.0,9.5,490.0,1059.48
73,1.6449565217391295,1.1566447042101,2867.0,61.0,8.0,14.375,358.375,454.34000000000003
74,2.550999999999998,2.024139215868659,2047.0,58.0,7.0,10.0,292.42857142857144,258.8442857142858
75,2.3299999999999996,2.5892767032810213,3052.0,132.0,7.0,31.714285714285715,436.0,541.4571428571428
76,5.503877551020408,17.546177743353695,614.0,40.0,5.0,9.8,122.8,315.924
77,3.2279069767441864,3.171906110226628,389.0,38.0,2.0,21.5,194.5,357.125
78,3.5355263157894736,3.690746425178034,206.0,31.0,3.0,12.666666666666666,68.66666666666667,165.68333333333337
79,1.694198113207546,1.611236556246784,2035.0,134.0,10.0,20.4,203.5,208.35500000000002
80,2.9455000000000005,1.9593459569324068,246.0,20.0,1.0,20.0,246.0,572.38
81,4.050000000000001,2.4098409352762964,106.0,16.0,1.0,16.0,106.0,288.5
82,3.257407407407408,2.1118577177317177,74.0,26.0,1.0,26.0,74.0,223.70000000000002
83,3.079411764705883,3.3730113967125788,254.0,17.0,2.0,8.5,127.0,210.25
84,2.7750000000000004,3.0978487159102306,362.0,11.0,3.0,5.333333333333333,120.66666666666667,148.5
85,1.0889655172413795,0.8729174508411784,2169.0,46.0,7.0,8.285714285714286,309.85714285714283,295.92285714285714
86,2.8922727272727276,2.8891371785298876,108.0,18.0,2.0,11.0,54.0,111.35
87,7.692307692307693,3.574029364377956,41.0,13.0,1.0,13.0,41.0,199.64999999999998
88,1.6658333333333344,1.6527007530452893,983.0,71.0,3.0,28.0,327.6666666666667,399.70666666666665
89,2.0573684210526317,1.52332650772013,1321.0,35.0,6.0,12.5,220.16666666666666,334.1816666666667
90,1.5695454545454546,1.5271769890963423,9822.0,37.0,10.0,4.4,982.2,919.9420000000002
91,4.6178260869565175,3.6495746559129505,316.0,32.0,7.0,6.571428571428571,45.142857142857146,104.89714285714287
92,9.879571428571442,14.115188557594402,383.0,85.0,12.0,11.666666666666666,31.916666666666668,225.65166666666664
93,3.309024390243902,5.783162977505498,389.0,38.0,4.0,10.25,97.25,147.6325
94,2.560000000000001,2.02895190513066,102.0,48.0,1.0,48.0,102.0,196.42999999999998
95,3.5617142857142863,3.3266760355312854,195.0,35.0,1.0,35.0,195.0,261.76000000000005
96,5.542000000000001,4.253397661478017,315.0,17.0,3.0,8.333333333333334,105.0,345.2166666666667
97,3.4299999999999997,2.6075957423564633,126.0,10.0,1.0,10.0,126.0,341.9
98,1.5350000000000001,0.5499338803231465,75.0,12.0,1.0,12.0,75.0,100.19999999999999
99,1.7358000000000007,0.9079582162461992,142.0,50.0,1.0,50.0,142.0,210.24
100,3.5324590163934415,3.319203546905846,566.0,50.0,7.0,8.714285714285714,80.85714285714286,127.8157142857143
101,1.923,1.7004739277470173,231.0,20.0,1.0,20.0,231.0,307.68000000000006
102,2.1327272727272732,2.01015058819119,888.0,39.0,5.0,11.0,177.6,302.544
103,2.6013592233009692,2.2115880411620865,1047.0,88.0,6.0,17.166666666666668,174.5,344.16333333333324
104,2.7657142857142856,2.226206550254402,125.0,14.0,1.0,14.0,125.0,193.23000000000002
105,2.670499999999999,2.3254861476226445,802.0,70.0,3.0,26.666666666666668,267.3333333333333,492.7266666666667
106,2.348552036199097,2.5988404203095006,14113.0,55.0,25.0,8.84,564.52,1079.7183999999997
107,3.0772727272727276,1.2720777563426766,70.0,11.0,1.0,11.0,70.0,170.7
108,3.015746268656715,2.8131395184337995,2160.0,107.0,5.0,26.4,432.0,855.676
109,2.701562499999998,5.005142187140349,302.0,60.0,3.0,21.0,100.66666666666667,175.91666666666674
110,3.5253333333333314,3.0397556504453473,1022.0,64.0,3.0,24.333333333333332,340.6666666666667,551.6666666666666
111,1.6593749999999998,0.9571842710384475,386.0,43.0,3.0,16.0,128.66666666666666,159.79333333333335
112,1.9723076923076932,1.6586459723335967,290.0,26.0,2.0,13.0,145.0,192.66500000000002
113,3.255172413793105,2.294636013292204,302.0,26.0,3.0,9.666666666666666,100.66666666666667,196.37333333333336
114,4.392307692307691,3.239081066266504,2233.0,40.0,7.0,9.285714285714286,319.0,813.7985714285714
115,1.1505000000000003,0.45673296355748183,384.0,20.0,1.0,20.0,384.0,406.5600000000001
116,2.528260869565216,2.450476342433366,2613.0,53.0,27.0,3.4074074074074074,96.77777777777777,104.96333333333334
117,7.936956521739129,8.420931947335763,113.0,20.0,3.0,7.666666666666667,37.666666666666664,158.3166666666667
118,2.7350000000000003,3.3008433265858996,2577.0,4.0,4.0,1.0,644.25,608.7525
119,1.3911764705882352,1.1555728144135984,230.0,17.0,1.0,17.0,230.0,189.80000000000004
120,2.731764705882353,2.6397164509046176,190.0,17.0,1.0,17.0,190.0,308.28000000000003
121,2.9893719806763293,2.423570160346863,1020.0,122.0,11.0,18.818181818181817,92.72727272727273,162.37454545454548
122,2.288,1.9839773509373182,8990.0,78.0,17.0,7.176470588235294,528.8235294117648,850.2847058823528
124,2.677708333333331,2.361263033640066,525.0,75.0,3.0,31.333333333333332,175.0,349.86666666666673
125,0.4533333333333333,0.28148416178061125,96.0,3.0,1.0,3.0,96.0,37.199999999999996
126,2.20378787878788,2.8781435069537533,2320.0,49.0,3.0,22.0,773.3333333333334,867.7366666666667
127,3.047090909090909,2.4813016840235385,500.0,50.0,2.0,27.5,250.0,482.24
128,3.714615384615384,2.697148541777085,144.0,13.0,2.0,6.5,72.0,149.26
129,5.55,2.1633307652783933,38.0,3.0,1.0,3.0,38.0,189.3
130,4.311681415929203,11.86613487910139,200.0,104.0,12.0,9.333333333333334,16.666666666666668,56.270833333333336
131,1.973809523809524,1.6639485454498772,420.0,19.0,2.0,10.5,210.0,250.27500000000003
132,3.75,0.0,106.0,3.0,1.0,3.0,106.0,397.5
133,4.861363636363637,9.764608993448022,656.0,30.0,3.0,14.666666666666666,218.66666666666666,493.09999999999997
134,2.26942857142857,1.9422746216937323,1053.0,111.0,10.0,17.5,105.3,166.29700000000003
135,5.672368421052631,4.131703682508815,181.0,36.0,2.0,18.5,90.5,301.815
136,4.925,5.233452758722273,79.0,10.0,1.0,10.0,79.0,303.50000000000006
137,2.7753968253968244,1.8890267381403345,86.0,63.0,1.0,63.0,86.0,217.25999999999988
138,3.5847394540943016,4.056819958812025,16433.0,302.0,13.0,31.0,1264.076923076923,2729.3746153846146
139,2.475039999999998,1.6183058764267708,4646.0,55.0,7.0,17.857142857142858,663.7142857142857,1494.654285714286
140,2.1192307692307684,1.5364896722140737,542.0,86.0,3.0,29.666666666666668,180.66666666666666,196.84666666666666
141,2.075714285714285,0.8670526049670919,1958.0,9.0,3.0,4.666666666666667,652.6666666666666,1618.2066666666667
142,3.064565217391302,2.5752223474016946,337.0,87.0,4.0,23.0,84.25,114.69
143,2.989402985074627,2.8853742368465167,802.0,64.0,2.0,33.5,401.0,764.1700000000001
144,3.7664150943396213,2.866286188902087,433.0,46.0,3.0,17.666666666666668,144.33333333333334,325.7966666666667
145,2.436666666666666,1.5982508044117538,653.0,69.0,4.0,18.0,163.25,294.0525
146,6.858333333333335,6.383023670367406,204.0,13.0,4.0,4.5,51.0,206.705
147,4.0904,2.847410343920712,3534.0,10.0,16.0,1.5625,220.875,574.7262499999999
148,4.13,5.282749284226917,1950.0,2.0,6.0,1.0,325.0,694.35
149,3.638235294117648,3.192604395087091,688.0,39.0,4.0,12.75,172.0,379.09
150,2.791327433628317,2.147087106667003,829.0,87.0,3.0,37.333333333333336,276.3333333333333,556.1733333333334
151,3.699459459459457,3.945095255703793,1397.0,87.0,6.0,24.666666666666668,232.83333333333334,565.2566666666668
152,3.164642857142855,2.8394511799716398,199.0,68.0,3.0,27.0,66.33333333333333,151.88333333333333
153,1.8628191489361674,1.4612411504396903,1204.0,158.0,6.0,31.0,200.66666666666666,158.57499999999996
154,3.5029629629629633,4.058883718097507,538.0,23.0,3.0,9.0,179.33333333333334,612.04
155,5.914354838709675,4.817644013336653,443.0,38.0,6.0,10.333333333333334,73.83333333333333,259.23833333333334
156,5.532678571428568,4.834677197486519,184.0,43.0,5.0,11.2,36.8,215.24200000000002
157,1.7099999999999997,1.264265267523658,104.0,7.0,1.0,7.0,104.0,124.14
158,3.030519480519479,3.0615780657864975,242.0,73.0,2.0,38.0,121.0,260.83000000000004
159,2.904709302325578,2.6128849479565646,455.0,137.0,6.0,28.166666666666668,75.83333333333333,164.42833333333334
160,1.9202439024390248,0.8309767981263921,12868.0,15.0,8.0,5.125,1608.5,2897.685
161,2.998529411764706,1.8445860705957875,39.0,34.0,1.0,34.0,39.0,110.35000000000001
162,6.13611111111111,8.646910457355064,173.0,16.0,3.0,6.0,57.666666666666664,141.35
163,3.034545454545454,4.663731147427798,1336.0,44.0,4.0,13.75,334.0,309.4825
164,2.184489795918368,1.2775204845462849,498.0,41.0,4.0,12.25,124.5,236.42
165,2.355900000000004,2.326861276160709,6371.0,299.0,6.0,66.66666666666667,1061.8333333333333,1634.61
166,2.9829032258064516,2.592851960741797,75.0,31.0,1.0,31.0,75.0,135.32999999999998
167,3.8707999999999956,2.696070796907137,887.0,82.0,10.0,12.3,88.7,245.325
168,7.208627450980387,3.3381426090614177,574.0,32.0,9.0,5.666666666666667,63.77777777777778,417.7344444444444
169,2.586848000000011,3.1656724208132276,11019.0,351.0,30.0,20.766666666666666,367.3,665.5559999999999
170,3.810882352941183,2.76820138006893,662.0,150.0,6.0,39.5,110.33333333333333,315.1366666666666
171,3.8495918367346924,2.4625494573575515,80.0,48.0,1.0,48.0,80.0,230.65999999999988
172,4.507699115044245,3.695534952781716,777.0,93.0,5.0,22.6,155.4,478.80600000000015
173,3.033749999999999,1.9686310127893771,43.0,30.0,1.0,30.0,43.0,118.88
174,4.761044776119403,4.2690313860902505,466.0,74.0,8.0,16.125,58.25,217.51875000000004
175,1.6341621621621611,1.6904583491119383,1569.0,170.0,7.0,25.857142857142858,224.14285714285714,215.62714285714284
176,2.709714285714286,2.219879857976763,167.0,67.0,2.0,35.0,83.5,218.19000000000005
177,2.199090909090909,2.4740347802409013,2010.0,134.0,4.0,46.25,502.5,595.7225
178,3.717346938775509,2.4579645010451436,609.0,79.0,4.0,33.5,152.25,378.3400000000001
179,3.3913749999999974,3.059650738630974,2510.0,53.0,10.0,8.0,251.0,492.462
180,3.845,2.1127194166129426,290.0,8.0,3.0,3.3333333333333335,96.66666666666667,188.9
181,2.214493927125506,1.608021952764551,686.0,184.0,5.0,48.8,137.2,231.92399999999998
182,3.6518399999999973,3.0696273242329313,970.0,73.0,8.0,15.625,121.25,318.7925
183,2.584117647058824,2.5039777766350784,129.0,49.0,1.0,49.0,129.0,274.66999999999996
184,2.4424590163934417,2.5300035316590543,941.0,110.0,3.0,40.333333333333336,313.6666666666667,454.60666666666674
185,3.5502739726027386,4.660272442118181,1395.0,132.0,3.0,48.666666666666664,465.0,1059.7033333333336
186,2.49057851239669,1.561412980562083,422.0,60.0,6.0,20.166666666666668,70.33333333333333,151.365
187,2.862173913043479,1.685135431627055,482.0,16.0,9.0,2.5555555555555554,53.55555555555556,163.43555555555554
188,2.6429174664107533,2.5568808993693337,1213.0,275.0,10.0,51.8,121.3,241.64699999999993
189,2.55,0.0,160.0,2.0,1.0,2.0,160.0,408.0
190,3.935714285714285,1.9936553498875724,158.0,60.0,3.0,25.333333333333332,52.666666666666664,204.70000000000005
191,2.1571929824561407,1.6752427909175742,530.0,51.0,2.0,25.5,265.0,322.33
192,2.8928000000000003,1.510358843697316,68.0,50.0,1.0,50.0,68.0,186.88000000000002
193,2.3126829268292686,2.115257696346056,448.0,38.0,3.0,13.666666666666666,149.33333333333334,207.44666666666663
194,2.536393442622946,2.2194242641127877,686.0,160.0,2.0,90.0,343.0,584.3299999999996
195,1.8007407407407399,1.294343393517628,1216.0,85.0,3.0,45.0,405.3333333333333,580.19
196,3.0290476190476165,2.576033222062977,669.0,84.0,4.0,26.25,167.25,281.3825
197,3.800058139534883,3.1527493797590043,768.0,130.0,6.0,26.666666666666668,128.0,327.89833333333337
198,4.577906976744185,6.1837373343077955,2140.0,29.0,6.0,7.166666666666667,356.6666666666667,434.13333333333327
199,1.9911538461538478,0.9354534474456007,288.0,44.0,3.0,17.333333333333332,96.0,168.53333333333333
200,5.43371794871796,3.8600057841032096,544.0,176.0,18.0,17.333333333333332,30.22222222222222,140.28666666666666
201,1.4831818181818193,1.0047015003945725,1118.0,48.0,3.0,22.0,372.6666666666667,457.29999999999995
202,2.245,1.6449204108086013,69.0,19.0,1.0,19.0,69.0,128.55
203,2.9889221556886194,2.729990959413983,987.0,142.0,3.0,54.0,329.0,581.2633333333333
204,4.8355555555555565,3.686283654235954,144.0,24.0,3.0,9.0,48.0,190.62333333333333
205,2.971090909090908,2.4284488746139674,255.0,101.0,2.0,54.0,127.5,317.06499999999994
206,6.232692307692307,5.655267236065174,554.0,40.0,5.0,10.4,110.8,331.65999999999997
207,3.459811320754717,3.1769391510128324,594.0,130.0,7.0,22.714285714285715,84.85714285714286,183.48
208,2.6154347826086934,3.520586613272717,1825.0,116.0,3.0,46.0,608.3333333333334,1016.2800000000003
209,3.3936144578313225,2.710703525958174,213.0,70.0,2.0,40.5,106.5,277.08
210,1.913263157894736,1.892636033001447,691.0,89.0,3.0,31.666666666666668,230.33333333333334,329.94
211,1.6827272727272726,0.7858255647291059,116.0,11.0,1.0,11.0,116.0,165.86
212,2.8813559322033897,3.287450252738654,141.0,57.0,1.0,57.0,141.0,272.0699999999999
213,2.5208823529411766,2.5627700066435675,378.0,28.0,3.0,11.333333333333334,126.0,217.37333333333333
214,5.762884615384612,17.052307225472912,385.0,42.0,3.0,17.333333333333332,128.33333333333334,404.28333333333336
215,2.6074528301886777,3.9056074611526137,1355.0,86.0,5.0,21.2,271.0,320.7300000000001
216,1.9554014598540137,1.5463600593759361,13536.0,47.0,19.0,7.2105263157894735,712.421052631579,665.5452631578947
217,3.3074999999999997,2.336911388715815,447.0,21.0,4.0,8.0,111.75,330.0225
218,3.8178313253012033,4.551304034035329,1856.0,73.0,4.0,20.75,464.0,660.1150000000002
219,1.8118749999999997,1.4169649195845793,196.0,16.0,1.0,16.0,196.0,320.08
220,3.4578666666666664,2.850224431682876,686.0,131.0,6.0,25.0,114.33333333333333,220.63
221,3.386600000000001,3.1197550989702734,293.0,34.0,3.0,16.333333333333332,97.66666666666667,232.86
222,4.583333333333333,2.549877448035493,46.0,9.0,1.0,9.0,46.0,164.7
223,3.503348416289599,4.464444443790364,927.0,178.0,2.0,95.0,463.5,1017.03
224,2.5755555555555554,1.9765507273474612,86.0,9.0,1.0,9.0,86.0,113.48000000000002
225,3.2667469879518065,3.6168602838999746,2528.0,69.0,8.0,10.375,316.0,514.975
226,3.6097368421052645,2.267268253710101,290.0,33.0,2.0,19.0,145.0,319.12
227,3.166068376068374,4.494768598482581,2729.0,106.0,8.0,14.625,341.125,508.1675000000001
228,2.8663253012048164,2.743286083506791,608.0,128.0,7.0,23.571428571428573,86.85714285714286,187.99142857142854
229,4.147666666666667,3.006883692501239,187.0,20.0,3.0,10.0,62.333333333333336,161.45666666666668
230,2.3604545454545462,1.8186401965485546,262.0,22.0,2.0,11.0,131.0,254.01
231,2.2856250000000005,1.9219075495538953,330.0,32.0,2.0,16.0,165.0,235.21
232,4.749508196721312,8.053224701163609,663.0,60.0,6.0,10.166666666666666,110.5,201.90666666666667
233,0.6581818181818182,0.5194192561278064,349.0,11.0,1.0,11.0,349.0,300.66
234,5.728571428571429,9.83055852698009,53.0,7.0,1.0,7.0,53.0,129.4
235,1.1200000000000003,0.15874507866387536,480.0,3.0,5.0,1.4,96.0,105.79200000000003
236,3.5294117647058814,4.595916192344985,446.0,41.0,3.0,17.0,148.66666666666666,254.57333333333338
237,3.1963768115942015,2.8233365591996304,303.0,65.0,3.0,22.333333333333332,101.0,228.44666666666672
238,2.2428205128205123,1.2242010256273679,347.0,36.0,2.0,19.5,173.5,304.2
239,1.89125,1.8360714401496836,192.0,14.0,2.0,8.0,96.0,183.075
240,3.269288079470213,2.8610583210080267,4023.0,252.0,18.0,33.333333333333336,223.5,475.35000000000014
241,3.06923076923077,2.7082237183257263,175.0,38.0,1.0,38.0,175.0,214.08
242,4.2608,4.250954677889355,173.0,44.0,2.0,24.5,86.5,197.755
243,2.1574683544303794,2.0720196194710367,1245.0,70.0,5.0,15.8,249.0,295.918
244,7.890000000000001,4.473179331675999,40.0,5.0,3.0,3.3333333333333335,13.333333333333334,93.2
245,4.621219512195121,6.744072654977091,307.0,37.0,5.0,8.0,61.4,116.876
246,4.06772151898734,3.309033071785778,427.0,62.0,3.0,26.333333333333332,142.33333333333334,250.8366666666667
247,2.884782608695653,2.2498199313100944,32.0,23.0,1.0,23.0,32.0,98.70000000000003
248,2.6679999999999997,2.487353661081214,653.0,35.0,2.0,17.5,326.5,647.9350000000001
249,2.6374999999999997,2.8130608531697927,350.0,12.0,1.0,12.0,350.0,419.06
250,2.3703448275862073,2.5591160342679435,94.0,29.0,1.0,29.0,94.0,112.08000000000001
251,2.8346666666666662,2.5517899777206345,366.0,54.0,4.0,14.25,91.5,219.81750000000002
252,2.0728,2.1972959795215625,1258.0,63.0,2.0,36.0,629.0,372.6299999999999
253,2.8804687499999972,2.4752300010445234,1252.0,70.0,8.0,16.0,156.5,321.86750000000006
254,2.545355648535565,2.4078058849719097,1491.0,172.0,9.0,26.333333333333332,165.66666666666666,274.85111111111115
255,2.8171428571428563,2.283174380868929,262.0,55.0,2.0,31.0,131.0,284.5999999999999
256,2.788571428571429,2.249201079162442,119.0,14.0,1.0,14.0,119.0,185.97
257,3.173666666666665,2.529308405718044,301.0,65.0,3.0,30.0,100.33333333333333,241.61666666666667
258,2.262195121951219,1.9387688752352235,256.0,74.0,1.0,74.0,256.0,367.95000000000005
259,2.132594936708859,1.9266535392634465,658.0,114.0,3.0,52.0,219.33333333333334,331.9766666666667
260,1.4800000000000015,0.9392821243326787,823.0,45.0,3.0,18.666666666666668,274.3333333333333,371.29333333333335
261,3.3551308900523584,3.26473789689298,1799.0,164.0,8.0,23.625,224.875,341.39375
262,2.1325806451612896,1.7967376058563143,572.0,140.0,4.0,37.75,143.0,220.19250000000002
263,3.3552380952380942,3.9989518211904933,275.0,55.0,4.0,14.25,68.75,140.785
264,2.9730769230769236,3.115727268272435,37.0,13.0,1.0,13.0,37.0,125.10000000000002
265,2.008333333333333,0.8004134960792968,210.0,18.0,1.0,18.0,210.0,391.5
266,2.772708333333332,2.5848015188489755,257.0,48.0,1.0,48.0,257.0,554.6599999999999
267,2.5379120879120878,1.911708669392393,573.0,58.0,6.0,15.166666666666666,95.5,203.95000000000005
268,2.1257999999999972,1.3892177618896715,416.0,127.0,4.0,49.25,104.0,199.29749999999999
269,3.5027027027027025,3.4546455427186484,379.0,33.0,5.0,7.4,75.8,146.29
270,3.2338596491228055,3.054795851482646,174.0,50.0,1.0,50.0,174.0,402.35999999999996
271,2.571100917431191,2.4797734885541836,479.0,90.0,4.0,26.75,119.75,205.22
272,2.394296296296293,3.95141681386898,2136.0,112.0,7.0,19.285714285714285,305.14285714285717,406.9714285714286
273,2.29,1.5454395275562658,421.0,12.0,3.0,4.333333333333333,140.33333333333334,222.0333333333334
274,5.7,5.080046751753374,63.0,9.0,1.0,9.0,63.0,227.40000000000003
275,2.4054545454545453,1.4261961638692968,377.0,18.0,2.0,11.0,188.5,432.7149999999999
276,3.017647058823529,2.5731975849226374,479.0,30.0,2.0,17.0,239.5,324.37499999999994
277,3.0288034188034163,2.3194987428147584,284.0,78.0,4.0,29.0,71.0,192.6575
278,2.389655172413793,2.036908516703369,127.0,27.0,1.0,27.0,127.0,193.3
279,3.093333333333332,2.486522605299752,457.0,49.0,3.0,17.0,152.33333333333334,307.37000000000006
280,4.016666666666667,3.718341109427779,261.0,10.0,4.0,3.0,65.25,101.1875
281,3.860909090909091,2.993104629757424,210.0,22.0,1.0,22.0,210.0,450.91999999999996
282,3.68,1.984515054112717,345.0,12.0,3.0,5.0,115.0,288.7966666666667
283,5.483125,6.8312621759574315,67.0,16.0,1.0,16.0,67.0,214.32
284,3.6901249999999974,3.144633159161208,635.0,67.0,2.0,39.0,317.5,587.0149999999999
285,3.1673913043478263,2.3534612665413404,11812.0,74.0,8.0,11.5,1476.5,4268.6925
286,3.799999999999997,2.8463187826111294,341.0,50.0,2.0,25.0,170.5,444.07499999999993
287,1.472258064516129,1.6233601154753459,601.0,31.0,2.0,15.5,300.5,241.26500000000001
288,3.013043478260872,3.472375997580488,3480.0,170.0,9.0,33.22222222222222,386.6666666666667,723.9266666666667
289,3.608085106382978,2.6245833112737795,364.0,42.0,3.0,15.666666666666666,121.33333333333333,320.2300000000001
290,2.475068493150685,2.3712031709735366,1666.0,110.0,4.0,36.5,416.5,637.135
